ano;idade
1994;34.2765668500034
1995;34.35381953345296
1996;34.26475228778794
1997;34.14056298467363
1998;34.119312250537305
1999;34.36808228686818
2000;33.91372371180772
2001;34.11178565174246
2002;34.013882890109215
2003;34.09938874573021
2004;33.28281525544179
2005;32.93292065278559
2006;33.14550191700735
2007;33.162860018581604
2008;33.15879673150626
2009;33.83818185206582
2010;32.69916381603953
2011;33.47472028135261
2012;33.839741911640154
2013;34.1596153264584
2014;34.469158619415055
2015;34.99386052283526
2016;35.46258789696109
2017;35.8054295318039
2018;36.187873282177165
2019;36.407074819331086
2020;36.84083730723974
2021;36.76758154497699
