ano;remuneracao
1985;6.87331237556324
1986;6.727796684888027
1987;6.855330237358101
1988;6.721953092044208
1989;5.847994254566882
1990;6.883769911504425
1991;6.882062101910828
1992;6.889377301640442
1993;6.652117332469006
1994;7.203979272113762
1995;7.33818600222187
1996;7.745305020549601
1997;8.044457271123937
1998;7.98584395798252
1999;7.878334149526609
2000;7.878015244796248
2001;7.576906137184115
2002;7.0657828794901505
2003;5.67105408916849
2004;5.223097889800703
2005;4.925309894351387
2006;4.575362682018286
2007;4.3532874260024
2008;4.2854853315724935
2009;4.366619252845796
2010;4.066202231111978
2011;4.315728245695673
2012;4.268957889252048
2013;4.23247910390112
2014;4.31845085000941
2015;4.33130957912905
2016;4.2108174996008305
2017;4.258766865799416
2018;4.340556869028312
2019;4.109413621392723
2020;3.9445538003473657
2021;3.9472200575287135
